run_id,experiment,dataset,split_type,fold,regime,detector,rho_assumed,rho_used,metric,value,n_test,n_pos_test,check
4ef52b2eaf70,headline,ULB,chronological,0,N,OneClassSVM,0.005,0.005,PR_AUC,0.12476017332147252,56962,75,
4ef52b2eaf70,headline,ULB,chronological,0,N,OneClassSVM,0.005,0.005,ROC_AUC,0.9539025319200052,56962,75,
4ef52b2eaf70,headline,ULB,chronological,0,N,OneClassSVM,0.005,0.005,Precision,0.19387755102040816,56962,75,
4ef52b2eaf70,headline,ULB,chronological,0,N,OneClassSVM,0.005,0.005,Recall,0.5066666666666667,56962,75,
4ef52b2eaf70,headline,ULB,chronological,0,N,OneClassSVM,0.005,0.005,F1,0.28044280442804426,56962,75,
4ef52b2eaf70,headline,ULB,chronological,0,N,OneClassSVM,0.005,0.005,TN,56729.0,56962,75,
4ef52b2eaf70,headline,ULB,chronological,0,N,OneClassSVM,0.005,0.005,FP,158.0,56962,75,
4ef52b2eaf70,headline,ULB,chronological,0,N,OneClassSVM,0.005,0.005,FN,37.0,56962,75,
4ef52b2eaf70,headline,ULB,chronological,0,N,OneClassSVM,0.005,0.005,TP,38.0,56962,75,
4ef52b2eaf70,headline,ULB,chronological,0,N,OneClassSVM,0.005,0.005,n_alerts,196.0,56962,75,
4ef52b2eaf70,headline,ULB,chronological,0,N,OneClassSVM,0.005,0.005,alert_rate,0.003440890418173519,56962,75,
4ef52b2eaf70,headline,ULB,chronological,0,N,OneClassSVM,0.005,0.005,prevalence,0.001316667251852112,56962,75,
4ef52b2eaf70,headline,ULB,chronological,0,N,OneClassSVM,0.005,0.005,lift,147.24870748299318,56962,75,
4ef52b2eaf70,headline,ULB,chronological,0,N,OneClassSVM,0.005,0.005,tie_ratio,0.0036867330278611554,56962,75,
4ef52b2eaf70,headline,ULB,chronological,0,N,OneClassSVM,0.005,0.005,fit_seconds,0.9523568153381348,56962,75,
4ef52b2eaf70,headline,ULB,chronological,0,N,OneClassSVM,0.005,0.005,score_seconds,7.70111083984375,56962,75,
9cc32d278564,headline,ULB,chronological,0,N,DBSCAN,0.005,0.005,PR_AUC,0.025021498387405985,56962,75,
9cc32d278564,headline,ULB,chronological,0,N,DBSCAN,0.005,0.005,ROC_AUC,0.9437054745958362,56962,75,
9cc32d278564,headline,ULB,chronological,0,N,DBSCAN,0.005,0.005,Precision,0.0,56962,75,
9cc32d278564,headline,ULB,chronological,0,N,DBSCAN,0.005,0.005,Recall,0.0,56962,75,
9cc32d278564,headline,ULB,chronological,0,N,DBSCAN,0.005,0.005,F1,0.0,56962,75,
9cc32d278564,headline,ULB,chronological,0,N,DBSCAN,0.005,0.005,TN,56708.0,56962,75,
9cc32d278564,headline,ULB,chronological,0,N,DBSCAN,0.005,0.005,FP,179.0,56962,75,
9cc32d278564,headline,ULB,chronological,0,N,DBSCAN,0.005,0.005,FN,75.0,56962,75,
9cc32d278564,headline,ULB,chronological,0,N,DBSCAN,0.005,0.005,TP,0.0,56962,75,
9cc32d278564,headline,ULB,chronological,0,N,DBSCAN,0.005,0.005,n_alerts,179.0,56962,75,
9cc32d278564,headline,ULB,chronological,0,N,DBSCAN,0.005,0.005,alert_rate,0.0031424458410870405,56962,75,
9cc32d278564,headline,ULB,chronological,0,N,DBSCAN,0.005,0.005,prevalence,0.001316667251852112,56962,75,
9cc32d278564,headline,ULB,chronological,0,N,DBSCAN,0.005,0.005,lift,0.0,56962,75,
9cc32d278564,headline,ULB,chronological,0,N,DBSCAN,0.005,0.005,tie_ratio,0.006109443303312756,56962,75,
9cc32d278564,headline,ULB,chronological,0,N,DBSCAN,0.005,0.005,fit_seconds,0.7676911354064941,56962,75,
9cc32d278564,headline,ULB,chronological,0,N,DBSCAN,0.005,0.005,score_seconds,0.04091238975524902,56962,75,
79e23dd9e7a1,headline,ULB,chronological,0,N,KMeans,0.005,0.005,PR_AUC,0.06734823561570871,56962,75,
79e23dd9e7a1,headline,ULB,chronological,0,N,KMeans,0.005,0.005,ROC_AUC,0.9670830476793175,56962,75,
